Nmin Nmax count_lesion avr_lesion count_profit avr_profit count_all total avr_all avr_potencial
50 50 28 -0.64 16 0.919 44 -3.44 -0.07 0.994
50 55 29 -0.59 13 0.950 42 -4.86 -0.11 0.953
50 60 28 -0.60 13 0.918 41 -4.96 -0.12 0.957
55 10 63 -0.67 23 1.101 86 -17.4 -0.20 0.855
55 15 56 -0.73 20 1.155 76 -18.2 -0.23 0.869
55 20 48 -0.80 20 1.003 68 -18.6 -0.27 0.877
55 25 41 -0.87 20 0.907 61 -17.9 -0.29 0.894
55 30 38 -0.86 19 0.914 57 -15.5 -0.27 0.927
55 35 33 -0.73 17 0.967 50 -7.94 -0.15 0.993
55 40 29 -0.66 17 0.929 46 -3.52 -0.07 1.043
55 45 27 -0.67 16 0.971 43 -2.64 -0.06 1.073
55 50 25 -0.70 15 0.981 40 -2.83 -0.07 1.093
55 55 26 -0.65 12 1.083 38 -3.90 -0.10 1.062
55 60 25 -0.66 12 1.083 37 -3.58 -0.09 1.081
60 10 62 -0.69 22 1.028 84 -20.6 -0.24 0.865
60 15 54 -0.76 20 1.025 74 -21.0 -0.28 0.886
60 20 47 -0.82 19 0.921 66 -21.3 -0.32 0.899
60 25 40 -0.88 18 0.866 59 -20.0 -0.33 0.922
60 30 37 -0.88 17 0.871 55 -17.7 -0.32 0.956
60 35 33 -0.74 15 0.917 49 -10.7 -0.21 1.010
60 40 30 -0.64 15 0.877 45 -6.31 -0.14 1.062
60 45 28 -0.64 14 0.922 42 -5.02 -0.11 1.097
60 50 26 -0.67 13 0.956 39 -5.21 -0.13 1.120
60 55 28 -0.61 9 1.227 37 -6.28 -0.16 1.089
60 60 27 -0.63 9 1.227 36 -5.96 -0.16 1.110
