names,indexes
AUZ1,80964
AUZ2,82692
AUZ3,175899
AUZ4,388439
AUZ5,420490
AUZ6,456132
AUZ7,481136
AUZ8,495734
AUZ9,891326
AUZ0,1823093
AUH1,74595
AUH2,81292
AUH3,83217
AUH4,181463
AUH5,398018
AUH6,436613
AUH7,459794
AUH8,487442
AUH9,497482
AUH0,909113
AUH1,2041111
AUM1,74652
AUM2,81958
AUM3,152643
AUM4,182484
AUM5,407210
AUM6,451566
AUM7,468779
AUM8,490560
AUM9,502228
AUM0,924728
AUU1,80374
AUU2,82359
AUU3,152953
AUU4,386077
AUU5,409535
AUU6,454081
AUU7,474123
AUU8,492708
AUU9,633969
AUU0,931914
AVAZ,144
AVAZ04,65934
AVAZG,13863
AVAZP,145
AVAZPG,15886
RTS.AVIA,146
AVIAG,16320
KHTL,459184
KHTL.IND,459185
KHTL02,487279
KHTL02.IND,487280
AWTEUR,916839
AWTRUR,916838
AWTUSD,916840
AXA,953309
AZKM,20667
AZKMG,20671
AZNCB,498820
AZTP,20678
AAN,580083
AAN,874158
ABBV-RM,2139229
ABBV,419790
ABBV,874161
ABT-RM,2190351
ABT,465455
ABT,874163
ANF,2190376
ANF,2190514
ACIA,579276
ACIA,874165
XLRN,913626
XLRN,913954
ACN,874166
ACN,461136
ATVI-RM,2028090
ATVI,488996
ATVI,465432
AYI,485955
AYI,874230
ADPT,2190373
ADPT,2190511
ADUS,912880
ADUS,913816
ADBE-RM,2139230
ADBE,465454
ADBE,20563
ATGE,890543
ATGE,891406
ASIX,890747
ASIX,891405
AAP,874159
AAP,465456
AEIS,581075
AEIS,874179
AMD,485958
AMD,874198
AERI,912530
AERI,913817
AVAV,571466
AVAV,874223
AJRD,912393
AJRD,913820
AET,465447
AET.IND,465548
AMG,465439
AMG,874201
AFL,465446
A,465457
A,874155
AGIO,912627
AGIO,913818
AIMT,913486
AIMT,913819
AIL,950094
APD,465434
APD,874214
AIR,950095
AKAM,465443
AKAM,874188
SPFB.Al,499461
AlF9,499449
AlZ8,499450
AlG9,499451
ALG,1948130
ALG,1948283
ALRM,890662
ALRM,891350
ALK,485959
ALK,874191
AIN,1948127
AIN,1948280
ALB,485961
ALB,874189
AA,419885
AA,17997
AA 1/9,477332
ARE,485956
ARE,874218
ALXN,465441
ALXN,874195
BABA,420397
BABA,874242
ALGN,485960
ALGN,874190
ALLK,890652
ALLK,891349
Y,890548
Y,891498
ALGT,875712
ALGT,876276
ALLE,478932
ALLE,874192
AGN,461006
AGN,874183
ALE,1948282
ADS,465450
ADS,874170
VOSTOK,434859
VOSTOK,435078
VOSTOK,434980
VOSTOK,435199
XS0925043100.EU,398311
XS0925043100,2125063
XS0925043100,476193
LNT,485928
LNT,874537
ALV,950113
ALL,21025
ALSN,570856
ALSN,874193
ALLO,913667
ALLO,913821
MDRX,903500
MDRX,903886
ALLY,2190375
ALLY,2190513
ALNY,901751
ALNY,903836
ALFA,501660
GOOG,20590
GOOGL,874433
GOOGL,453886
GOOG,420099
AABA,483600
AABA,874156
ALTR,913822
ALTR,912475
AYX,876282
AYX,875901
ATUS,902723
ATUS,903839
MO,462820
ACH,477525
ACH,874164
AAL-RM,2139228
AI3A,954622
AMZN-RM,2028087
AMZN,420014
AMZN,874205
AMED,874200
AMED,571106
AEE,485963
AEE,874178
CRMT,890558
CRMT,891423
AAL,477526
AAL,874157
AEO,2190374
AEO,2190512
AXP,18009
AXP,461129
AFG,1808104
AFG,1809945
AIG,461134
AIG,19070
AOBC,912345
AOBC,913825
AOUT,2028065
AOUT,2030418
APEI,890989
APEI,891403
AWR,581202
AWR,874229
AMT,20568
AMT,465437
AWK,1808106
AWK,1809947
AMWD,580311
AMWD,874204
A1BSC,19513
A1NCY,20452
A1CYC,19536
A1FIN,20460
A1IDU,20448
A1ENE,20444
A1TEC,20464
A1TLS,20456
A1UTI,19561
COLD,2190398
COLD,2190535
AMP,465438
AMP,874203
ABC,1808103
ABC,1809944
AMGN,461132
AMGN,874202
FOLD,2190411
FOLD,2190548
APH,465433
APH,874215
APC,461130
APC,874213
ADI,465453
ADI,874168
PLAN,903591
PLAN,903900
ANAB,891272
ANAB,891402
ANDV,487177
ANDV.IND,487178
1NBA,946882
BUD,492113
BUD,874273
ANIK,876279
ANIK,875522
AXE,890884
AXE,891408
ATEX,1948135
ATEX,1948288
ANTM,478933
ANTM,874208
AON,465435
AON,874209
APA,461131
APA,874211
AIV,465445
AIVold,578879
AIV,874185
APY,495279
APY,874217
APPF,913826
APPF,912707
APPN,913827
APPN,912382
AAPL-RM,2052021
APLE,927675
APLE,927753
AAPL,20569
AAPL,419805
AIT,1948128
AIT,1948281
AMAT,20570
